Headline,Description,Company A,Company B,Category,Link Color,Value in Billion
OpenAI & AMD 6GW Chip Agreement,OpenAI signs a definitive agreement to deploy 6 gigawatts of AMD Instinct MI450 GPUs starting in 2H 2026. The multi-year deal is expected to generate tens of billions in revenue for AMD and diversifies OpenAI's compute supply chain beyond Nvidia.,OpenAI,Advanced Micro Devices (AMD),Investment,Red,
OpenAI & Nvidia 10GW Infrastructure Pact,"Nvidia and OpenAI announce a strategic partnership to deploy 10 gigawatts of Nvidia systems. To support this, Nvidia intends to invest up to $100 billion in OpenAI progressively as the infrastructure, utilizing the Vera Rubin platform, comes online.",OpenAI,Nvidia,Investment,Red,
Oracle & OpenAI $300 Billion Cloud Deal,OpenAI enters a five-year contract with Oracle valued at approximately $300 billion to procure computing power. The deal involves 4.5GW of capacity and extends Microsoft Azure's AI platform onto Oracle Cloud Infrastructure (OCI) to support Stargate-level requirements.,OpenAI,Oracle,Investment,Red,
Microsoft $10 Billion Investment in CoreWeave,Microsoft commits to investing $10 billion in CoreWeave by 2030. This capital injection is designed to quadruple CoreWeave's revenue to $8 billion by 2025 and secure overflow GPU capacity for Azure's AI workload demands.,Microsoft,CoreWeave,Harware,Blue,
Nvidia $2 Billion Equity Investment in CoreWeave,"Nvidia invests an additional $2 billion in CoreWeave (Jan 2026), purchasing Class A stock at $87.20/share. The deal accelerates the buildout of 5GW of AI capacity and commits CoreWeave to deploying Nvidia's new Vera CPUs and Rubin platform.",Nvidia,CoreWeave,Harware,Blue,
Microsoft Signs $19.4 Billion Deal with Nebius,Nebius Group secures a $19.4 billion agreement to supply GPU infrastructure to Microsoft from its New Jersey data center through 2031. The deal validates Nebius's pivot from Yandex assets to a pure-play AI cloud provider.,Microsoft,Nebius Group,Harware,Blue,
xAI Raises $20 Billion (Series E),"Elon Musk's xAI raises $20 billion to expand its ""Colossus"" supercomputer cluster. Nvidia participates with a ~$2 billion equity investment, and the deal structure uses Special Purpose Vehicles (SPVs) to lease Nvidia chips.",xAI,Nvidia,Investment,,
"Nscale Signs 200,000 GPU Deal with Microsoft","Nscale contracts to provide 200,000 Nvidia GB300 GPUs to Microsoft across Europe and the US. The deal is part of a broader collaboration involving Dell Technologies and supports sovereign AI infrastructure in the UK.",Nscale,Microsoft,Services,,
Nscale Raises $1.1 Billion (Series B),"Nscale raises $1.1 billion led by Norwegian energy giant Aker ASA, with participation from Nvidia and Nokia, to fund the development of AI data centers integrating power generation and compute.",Nscale,Nvidia,Harware,,
Mistral AI Raises €1.7 Billion (Series C),"Paris-based Mistral AI raises €1.7 billion at an €11.7 billion valuation. The round is led by ASML and includes investment from Nvidia, reinforcing Mistral as the European alternative to OpenAI.",Mistral AI,Nvidia,Harware,,
Anysphere Raises $1.3 Billion,"Anysphere (creator of the Cursor coding assistant) raises $2.3 billion at a $29.3 billion valuation. The round is backed by OpenAI and Nvidia, positioning AI-assisted coding as a primary consumer of inference compute.",Anysphere,OpenAI,Services,,
Anysphere Raises $1Billion,"Anysphere (creator of the Cursor coding assistant) raises $2.3 billion at a $29.3 billion valuation. The round is backed by OpenAI and Nvidia, positioning AI-assisted coding as a primary consumer of inference compute.",Anysphere,Nvidia,Harware,,
Figure AI Raises $1 Billion+ (Series C),"Humanoid robotics company Figure AI raises over $1 billion from Nvidia, Intel Capital, and others at a $39 billion valuation to scale its ""BotQ"" manufacturing and simulation infrastructure.",Figure AI,Nvidia,Harware,,
Ambience Healthcare Raises $243 Million,"Ambience Healthcare raises $243 million in Series C funding, backed by the OpenAI Startup Fund, to expand its ambient AI operating system for clinical documentation across US health systems.",Ambience Healthcare,OpenAI,Services,,
Harvey AI Raises $100 Million (Series C),"Legal AI startup Harvey raises $100 million at a $1.5 billion valuation, with participation from OpenAI and Google Ventures, to build custom legal models and expand enterprise adoption.",Harvey AI,OpenAI,Services,,